Township,Area,State,Tenure,Type,Bedrooms,Bathrooms,Median_Price,Median_PSF,House_Size_SQFT,Transactions,Safety_Score,Crime_Risk,Distance_to_Public_Transport_KM,Distance_to_Mall_KM,Distance_to_School_KM,Distance_to_Hospital_KM,Flood_Risk,Estimated_Rental_Yield_Pct,Historical_Capital_Appreciation_3Yr_Pct,Est_Monthly_Mortgage_RM
SCIENTEX SUNGAI DUA,Tasek Gelugor,Penang,Freehold,Terrace House,3,2,331800,304,"1,091",593,73,Moderate,3.80,3.50,3.00,7.20,High,3.68,3.05,
BANDAR PUTRA,Kulai,Johor,Freehold,"Cluster House, Terrace House",4,3,590900,322,"1,835",519,78,Low,19.10,1.50,0.70,2.70,High,2.80,4.49,
TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,Perak,Freehold,Terrace House,3,2,229954,130,"1,769",414,79,Low,24.80,4.80,1.30,6.10,Low,3.11,2.85,
SCIENTEX JASIN MUTIARA,Bemban,Melaka,Freehold,Terrace House,3,2,255600,218,"1,172",391,79,Low,18.70,3.70,0.60,3.50,High,4.21,1.29,
TAMAN LAGENDA AMAN,Tapah,Perak,Leasehold,Terrace House,3,2,219300,168,"1,305",363,76,Low,7.50,7.10,0.80,5.60,Low,3.63,1.58,
TAMAN IMPIAN EMAS,Tebrau,Johor,Freehold,"Terrace House, Semi D",4,4,738000,328,"2,250",349,79,Low,2.00,1.90,3.80,10.50,Low,2.95,2.60,
TAMAN KOTA MASAI,Pasir Gudang,Johor,Freehold,Terrace House,3,2,345000,323,"1,068",319,70,Moderate,1.40,2.10,0.90,3.60,Low,2.31,3.46,
TAMAN LAGENDA TELUK INTAN,Teluk Intan,Perak,Leasehold,"Terrace House, Cluster House",4,3,236594,126,"1,878",309,79,Low,35.20,4.30,2.20,8.50,Medium,2.79,3.25,
BANDAR SCIENTEX JASIN,Jasin,Melaka,Freehold,Terrace House,3,2,180000,188,957,301,77,Low,18.80,6.90,3.10,3.50,Low,3.71,3.43,
BANDAR BUKIT RAJA,Kapar,Selangor,Freehold,Terrace House,3,2,793888,496,"1,601",292,68,Moderate,3.60,1.50,2.50,3.30,Medium,3.38,3.23,
TAMAN IMPIANA KESANG,Bemban,Melaka,Leasehold,Terrace House,3,2,128730,92,"1,399",288,80,Low,5.30,6.80,1.00,1.80,High,2.75,1.80,
TAMAN BUKIT INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,695000,425,"1,635",259,80,Low,22.00,15.70,0.80,19.30,Low,2.75,4.52,
TAMAN NUSA SERI CENGAL 2 & 3,Nilai,Negeri Sembilan,Leasehold,Terrace House,3,2,359000,194,"1,851",210,82,Low,31.80,14.90,2.90,5.80,Low,3.22,1.96,
BANDAR DATO' ONN,Tebrau,Johor,Freehold,"Terrace House, Semi D",4,4,750000,450,"1,667",203,78,Low,2.40,3.60,3.50,2.90,Low,2.34,2.57,
TAMAN UNIVERSITI,Skudai,Johor,Freehold,Terrace House,3,2,394000,307,"1,283",202,77,Low,2.20,2.90,1.90,3.60,Low,2.50,2.82,
TAMAN JOHOR JAYA,Johor Bahru,Johor,Freehold,Terrace House,3,2,450000,326,"1,380",195,78,Low,2.20,2.70,1.10,4.80,Low,3.81,2.84,
TAMAN PUTERA INDAH,Batu Pahat,Johor,Freehold,"Terrace House, Cluster House",4,3,400000,214,"1,869",193,75,Low,3.20,6.70,0.80,12.40,Low,3.67,3.66,
TAMAN KIRANA,Kluang,Johor,Leasehold,Terrace House,3,2,170800,125,"1,366",188,71,Moderate,5.50,4.50,3.10,4.70,Low,2.17,4.94,
TAMAN BESTARI INDAH,Ulu Tiram,Johor,Freehold,Terrace House,3,2,832000,471,"1,766",184,79,Low,4.40,5.50,0.50,8.30,Low,3.33,3.21,
TAMAN MUTIARA RINI,Skudai,Johor,Leasehold,Terrace House,3,2,672000,396,"1,697",183,74,Moderate,3.10,1.10,3.80,20.80,Low,4.06,2.64,
TAMAN BUKIT PERDANA,Kluang,Johor,Freehold,Cluster House,4,3,343400,140,"2,453",181,75,Low,6.70,2.00,0.90,7.30,Low,2.46,4.76,
TAMAN SCIENTEX,Pasir Gudang,Johor,Freehold,"Terrace House, Cluster House",4,3,380000,387,982,177,74,Moderate,1.90,1.90,3.50,1.90,Low,3.63,3.37,
BANDAR BARU PERMAS JAYA,Permas Jaya,Johor,Freehold,Terrace House,3,2,500000,392,"1,276",173,72,Moderate,3.10,1.40,6.30,6.00,Medium,2.14,5.07,
TAMAN DAYA,Tebrau,Johor,Freehold,"Cluster House, Terrace House",4,3,504000,331,"1,523",172,80,Low,3.70,6.60,1.10,6.00,Low,2.72,3.09,
HORIZON HILLS,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,1180000,500,"2,360",171,78,Low,4.70,3.70,1.90,6.10,Low,3.19,5.23,
BUKIT SENTOSA,Serendah,Selangor,Freehold,"Bungalow, Terrace House",4,3,290000,232,"1,250",166,74,Moderate,4.30,3.60,1.30,2.80,Low,2.10,4.80,
D'Summit Residences,Skudai,Johor,Freehold,Service Residence,3,2,452900,602,752,165,74,Moderate,2.30,5.40,0.90,6.20,Low,3.32,3.78,
BANDAR BARU SRI KLEBANG,Chemor,Perak,Freehold,"Terrace House, Semi D",4,4,472800,235,"2,012",164,81,Low,15.80,4.30,2.00,7.00,Low,3.71,3.41,
TAMAN DESA TEBRAU,Tebrau,Johor,Freehold,"Terrace House, Cluster House",4,3,930000,470,"1,979",163,75,Low,6.40,1.70,0.60,2.10,Low,2.53,2.93,
TAMAN PAGOH JAYA - TR 428,Pagoh,Johor,Freehold,Terrace House,3,2,80000,74,"1,081",156,74,Moderate,1.30,3.80,3.30,1.70,Low,4.10,4.51,
BANDAR BARU KANGKAR PULAI,Kulai,Johor,"Freehold, Leasehold","Cluster House, Terrace House",4,3,553200,297,"1,863",155,74,Moderate,6.60,5.00,1.10,4.10,Low,3.01,4.22,
TAMAN AROWANA [LENGGENG],Lenggeng,Negeri Sembilan,Leasehold,Terrace House,3,2,476240,310,"1,536",152,76,Low,7.80,11.40,1.10,4.00,Low,3.71,2.93,
TAMAN PERLING,Perling,Johor,Freehold,Terrace House,3,2,527500,286,"1,844",152,71,Moderate,1.40,1.00,0.60,2.70,Low,4.12,3.78,
LAYANGGKASA,Pasir Gudang,Johor,Freehold,Terrace House,3,2,551650,384,"1,437",149,76,Low,18.80,1.10,2.00,3.70,Low,2.67,4.42,
INDAHPURA,Kulai,Johor,Freehold,Terrace House,3,2,680000,377,"1,804",145,79,Low,21.20,3.40,0.80,2.90,Low,2.96,4.28,
TAMAN BUNGA RAYA,Serendah,Selangor,Leasehold,Terrace House,3,2,200000,186,"1,075",144,67,Moderate,4.60,4.30,5.50,1.70,Low,2.97,2.96,
TAMAN SEPADU JAYA (D'HALONA PLACE),Penaga,Penang,Freehold,Terrace House,3,2,307000,277,"1,108",141,82,Low,3.20,7.60,1.80,4.80,Low,3.08,4.57,
TAMAN SENTOSA,Klang,Selangor,Freehold,Terrace House,3,2,450000,357,"1,261",141,76,Low,0.80,3.10,0.60,1.90,Low,3.84,3.98,
TAMAN ANJUNG SUNGAI PETAI,Sungei Petai,Melaka,Freehold,"Terrace House, Semi D",4,4,298800,194,"1,540",140,78,Low,22.30,6.30,1.10,11.50,Low,2.38,2.04,
SEKSYEN 30 SHAH ALAM,Shah Alam,Selangor,Freehold,"Semi D, Terrace House",4,4,495000,308,"1,607",140,73,Moderate,2.00,2.60,0.70,6.50,Medium,3.81,3.74,
